===Testing batch size: 256, Ephocs: 50 ===
epoch, batch_size,train_acc,test_ll,test_acc
1,256,0.8126333333333333,-1.0944293633142825,0.8228
2,256,0.8384,-0.7983268272336406,0.847
3,256,0.8514166666666667,-0.6718924998844217,0.8599
4,256,0.85985,-0.6005459004225419,0.8672
5,256,0.8650333333333333,-0.5540113111813574,0.8735
6,256,0.8693333333333333,-0.5208893088799165,0.8782
7,256,0.8729666666666667,-0.49589992768085783,0.8815
8,256,0.8757666666666667,-0.47624652214880897,0.8842
9,256,0.87825,-0.46030177450810916,0.8859
10,256,0.8803833333333333,-0.4470504010112889,0.888
11,256,0.88235,-0.4358239089692208,0.8896
12,256,0.8839333333333333,-0.42616284830793366,0.891
13,256,0.8855333333333333,-0.41774020031935244,0.8928
14,256,0.8868166666666667,-0.41031634133885364,0.8942
15,256,0.8882166666666667,-0.4037113269739878,0.8953
16,256,0.8892166666666667,-0.3977871654243353,0.8969
17,256,0.8904166666666666,-0.39243610067826895,0.8972
18,256,0.89155,-0.38757264502431016,0.8978
19,256,0.8925666666666666,-0.3831280252924115,0.8987
20,256,0.8933333333333333,-0.3790462263492875,0.8996
21,256,0.8944166666666666,-0.37528111753616467,0.9007
22,256,0.8951833333333333,-0.3717943293680544,0.9017
23,256,0.8958333333333334,-0.36855366015187635,0.9019
24,256,0.8964333333333333,-0.3655318634564199,0.9025
25,256,0.8970166666666667,-0.36270571363864085,0.9035
26,256,0.8974666666666666,-0.36005527729903597,0.9039
27,256,0.8980166666666667,-0.35756333925176276,0.9045
28,256,0.8985666666666666,-0.3552149458267947,0.9045
29,256,0.8992333333333333,-0.352997038254829,0.9047
30,256,0.8997833333333334,-0.3508981559200424,0.9058
31,256,0.9004833333333333,-0.3489081943140689,0.9059
32,256,0.9009166666666667,-0.3470182061925107,0.9067
33,256,0.9011333333333333,-0.34522023713100003,0.9074
34,256,0.9015,-0.343507188680223,0.9078
35,256,0.9017666666666667,-0.34187270382157603,0.9079
36,256,0.9021166666666667,-0.34031107056267645,0.9081
37,256,0.9024666666666666,-0.3388171403808794,0.9083
38,256,0.90265,-0.3373862588921309,0.9089
39,256,0.9029666666666667,-0.3360142066418257,0.9093
40,256,0.9031333333333333,-0.33469714832030883,0.9094
41,256,0.90355,-0.33343158902520165,0.9095
42,256,0.9039,-0.3322143364458758,0.9093
43,256,0.90435,-0.3310424680471705,0.9095
44,256,0.9047666666666667,-0.32991330249122386,0.9099
45,256,0.9050833333333334,-0.3288243746667002,0.9101
46,256,0.9055333333333333,-0.3277734138003954,0.9102
47,256,0.9057166666666666,-0.3267583242122864,0.9105
48,256,0.9058166666666667,-0.32577716834554915,0.9108
49,256,0.9061,-0.3248281517609939,0.9111
50,256,0.9063,-0.32390960983319794,0.9115
